Timestamp,X,Y,Z
16-7月-2020 12:32:21.461,-1.113235,3.99115,8.821156
16-7月-2020 12:32:21.561,-1.109642,3.975433,8.840017
16-7月-2020 12:32:21.660,-1.106649,3.951932,8.906778
16-7月-2020 12:32:21.760,-1.15874,4.009113,8.870105
16-7月-2020 12:32:21.860,-1.151106,3.964356,8.871751
16-7月-2020 12:32:21.959,-1.097667,3.985462,8.909173
16-7月-2020 12:32:22.059,-1.112487,3.980672,8.931776
16-7月-2020 12:32:22.159,-1.142873,3.94819,8.954529
16-7月-2020 12:32:22.258,-1.111888,3.98666,8.918155
16-7月-2020 12:32:22.358,-1.158291,3.928131,8.859926
16-7月-2020 12:32:22.458,-1.08195,3.974086,8.876092
16-7月-2020 12:32:22.558,-1.161285,3.859724,9.437874
16-7月-2020 12:32:22.657,-1.381028,3.769761,9.092392
16-7月-2020 12:32:22.757,-1.183738,3.98636,8.893905
16-7月-2020 12:32:22.857,-1.114433,3.945645,8.937165
16-7月-2020 12:32:22.956,-1.257834,3.802842,9.052725
16-7月-2020 12:32:23.056,-1.118025,3.875591,8.923543
16-7月-2020 12:32:23.156,-1.103206,3.935316,9.0165
16-7月-2020 12:32:23.255,-1.170566,3.916755,8.962912
16-7月-2020 12:32:23.355,-1.171614,3.882626,8.974138
16-7月-2020 12:32:23.455,-1.084944,3.946094,8.920101
16-7月-2020 12:32:23.555,-1.135389,3.945795,8.907377
16-7月-2020 12:32:23.654,-1.163081,3.946842,8.944949
16-7月-2020 12:32:23.754,-1.097069,4.017795,8.932525
16-7月-2020 12:32:23.854,-1.097667,3.953578,8.979078
16-7月-2020 12:32:23.953,-1.082399,4.037704,8.81442
16-7月-2020 12:32:24.053,-1.026416,4.008065,8.894204
16-7月-2020 12:32:24.153,-1.036445,3.992797,8.956176
16-7月-2020 12:32:24.253,-1.069526,4.024381,8.884924
16-7月-2020 12:32:24.352,-1.007555,4.088149,8.892558
16-7月-2020 12:32:24.452,-0.987347,4.046535,8.912017
16-7月-2020 12:32:24.552,-1.047372,4.056115,8.854088
16-7月-2020 12:32:24.651,-1.037193,4.065396,8.903934
16-7月-2020 12:32:24.751,-1.038391,4.051026,8.80484
16-7月-2020 12:32:24.851,-1.023272,3.994593,8.896599
16-7月-2020 12:32:24.950,-1.02926,4.026776,8.916059
16-7月-2020 12:32:25.050,-0.984203,3.991899,8.999585
16-7月-2020 12:32:25.150,-1.047372,3.910618,8.982371
16-7月-2020 12:32:25.250,-1.003064,4.045936,8.849897
16-7月-2020 12:32:25.349,-1.01938,3.901337,9.030571
16-7月-2020 12:32:25.449,-1.071472,3.929179,9.034163
16-7月-2020 12:32:25.549,-0.983305,3.937711,8.926238
16-7月-2020 12:32:25.648,-1.002914,3.949387,8.908125
16-7月-2020 12:32:25.748,-0.998573,3.9193,9.01156
16-7月-2020 12:32:25.848,-0.989442,3.935316,8.903186
16-7月-2020 12:32:25.947,-0.981659,3.974834,8.91097
16-7月-2020 12:32:26.047,-1.045276,3.884871,8.98746
16-7月-2020 12:32:26.147,-1.026565,3.873196,8.933872
16-7月-2020 12:32:26.247,-0.999771,3.88053,9.027577
16-7月-2020 12:32:26.346,-1.046773,3.829636,9.019194
16-7月-2020 12:32:26.446,-1.015788,3.903283,8.906928
16-7月-2020 12:32:26.546,-1.036445,3.927533,8.977581
16-7月-2020 12:32:26.645,-1.091081,3.863017,9.056018
16-7月-2020 12:32:26.745,-1.01489,3.867358,8.943452
16-7月-2020 12:32:26.845,-1.054108,3.859724,9.06006
16-7月-2020 12:32:26.944,-1.041983,3.867657,8.996292
16-7月-2020 12:32:27.044,-1.077609,3.922892,8.971743
16-7月-2020 12:32:27.144,-1.025966,3.85658,9.084608
16-7月-2020 12:32:27.244,-1.092129,3.909271,8.920849
16-7月-2020 12:32:27.343,-0.999621,3.925886,8.927435
16-7月-2020 12:32:27.443,-1.017135,3.930077,9.022188
16-7月-2020 12:32:27.543,-1.019081,3.892655,8.98267
16-7月-2020 12:32:27.642,-0.962948,3.952531,8.85768
16-7月-2020 12:32:27.742,-0.992736,4.131558,8.632698
16-7月-2020 12:32:27.842,-1.018931,4.206103,8.547226
16-7月-2020 12:32:27.941,-0.88975,4.42914,8.557405
16-7月-2020 12:32:28.041,-0.951272,4.451593,8.231832
16-7月-2020 12:32:28.141,-0.529898,4.497248,7.783065
16-7月-2020 12:32:28.241,-0.691562,3.853437,7.864945
16-7月-2020 12:32:28.340,0.34608,2.735861,9.592951
16-7月-2020 12:32:28.440,-1.720223,2.179019,10.096654
16-7月-2020 12:32:28.540,-3.008145,1.207689,9.948462
16-7月-2020 12:32:28.639,-3.878734,0.656535,10.229577
16-7月-2020 12:32:28.739,-4.202211,0.320484,13.004806
16-7月-2020 12:32:28.839,-1.901646,0.670755,13.048665
16-7月-2020 12:32:28.938,-0.940794,0.488584,10.650502
16-7月-2020 12:32:29.038,1.128204,-0.564326,14.043347
16-7月-2020 12:32:29.138,-2.771337,-1.674568,5.761968
16-7月-2020 12:32:29.238,-4.878206,1.53895,5.893245
